Timestamp,Track_ID,Violation_Type,Plate_Number
2026-08-28 21:59:12,2,SUDDEN_LANE_CHANGE,Searching Plate...
2026-08-28 22:00:40,15,SUDDEN_LANE_CHANGE,Searching Plate...
2026-08-28 22:00:59,16,SUDDEN_LANE_CHANGE,Searching Plate...
2026-08-28 22:04:06,26,SUDDEN_LANE_CHANGE,EAHGL
2026-08-28 22:04:35,2,SUDDEN_LANE_CHANGE,Searching Plate...
2026-08-28 22:08:15,15,SUDDEN_LANE_CHANGE,Searching Plate...
2026-08-28 22:08:41,16,SUDDEN_LANE_CHANGE,Searching Plate...
2026-08-28 23:02:57,2,SUDDEN_LANE_CHANGE,3J6
2026-08-28 23:02:59,6,SUDDEN_LANE_CHANGE,Searching Plate...
2026-08-28 23:03:29,9,SUDDEN_LANE_CHANGE,IV0
2026-09-07 20:28:00,CAM_01_NORTH_JUNCTION,134,NO_SEATBELT,Searching Plate...,50.5%,EV_134_NO_SEATBELT_20260907_202800_082.jpg
2026-09-07 20:28:23,CAM_01_NORTH_JUNCTION,207,NO_SEATBELT,Searching Plate...,51.9%,EV_207_NO_SEATBELT_20260907_202823_552.jpg
2026-09-07 20:29:56,CAM_01_NORTH_JUNCTION,7,NO_SEATBELT,Searching Plate...,51.2%,EV_7_NO_SEATBELT_20260907_202956_591.jpg
2026-09-07 20:30:48,CAM_01_NORTH_JUNCTION,11,NO_SEATBELT,Searching Plate...,50.8%,EV_11_NO_SEATBELT_20260907_203048_404.jpg
2026-09-07 20:30:55,CAM_01_NORTH_JUNCTION,16,NO_SEATBELT,Searching Plate...,56.8%,EV_16_NO_SEATBELT_20260907_203055_178.jpg
2026-09-07 20:30:57,CAM_01_NORTH_JUNCTION,175,SUDDEN_LANE_CHANGE,Searching Plate...,92.0%,EV_175_SUDDEN_LANE_CHANGE_20260907_203057_469.jpg
2026-09-07 20:31:05,CAM_01_NORTH_JUNCTION,10,NO_SEATBELT,Searching Plate...,50.3%,EV_10_NO_SEATBELT_20260907_203105_464.jpg
2026-09-07 20:32:09,CAM_01_NORTH_JUNCTION,252,NO_SEATBELT,Searching Plate...,84.8%,EV_252_NO_SEATBELT_20260907_203209_843.jpg
2026-09-07 20:33:28,CAM_01_NORTH_JUNCTION,348,NO_SEATBELT,Searching Plate...,84.8%,EV_348_NO_SEATBELT_20260907_203328_333.jpg
2026-09-07 20:33:28,CAM_01_NORTH_JUNCTION,349,NO_SEATBELT,Searching Plate...,84.8%,EV_349_NO_SEATBELT_20260907_203328_395.jpg
2026-09-07 20:33:28,CAM_01_NORTH_JUNCTION,350,NO_SEATBELT,Searching Plate...,84.8%,EV_350_NO_SEATBELT_20260907_203328_466.jpg
2026-09-07 20:33:28,CAM_01_NORTH_JUNCTION,351,NO_SEATBELT,Searching Plate...,84.8%,EV_351_NO_SEATBELT_20260907_203328_546.jpg
2026-09-07 20:33:28,CAM_01_NORTH_JUNCTION,352,NO_SEATBELT,Searching Plate...,84.8%,EV_352_NO_SEATBELT_20260907_203328_624.jpg
2026-09-07 20:33:29,CAM_01_NORTH_JUNCTION,357,NO_SEATBELT,Searching Plate...,84.8%,EV_357_NO_SEATBELT_20260907_203329_419.jpg
2026-09-07 20:33:29,CAM_01_NORTH_JUNCTION,345,NO_SEATBELT,Searching Plate...,84.8%,EV_345_NO_SEATBELT_20260907_203329_912.jpg
2026-09-07 20:33:33,CAM_01_NORTH_JUNCTION,359,NO_SEATBELT,Searching Plate...,84.8%,EV_359_NO_SEATBELT_20260907_203333_212.jpg
2026-09-07 20:33:46,CAM_01_NORTH_JUNCTION,344,SUDDEN_LANE_CHANGE,Searching Plate...,92.0%,EV_344_SUDDEN_LANE_CHANGE_20260907_203346_083.jpg
2026-09-07 20:33:48,CAM_01_NORTH_JUNCTION,356,SUDDEN_LANE_CHANGE,3376,92.0%,EV_356_SUDDEN_LANE_CHANGE_20260907_203348_368.jpg
2026-09-07 20:33:48,CAM_01_NORTH_JUNCTION,360,NO_SEATBELT,PJWL71,84.8%,EV_360_NO_SEATBELT_20260907_203348_740.jpg
2026-09-07 20:33:49,CAM_01_NORTH_JUNCTION,363,NO_SEATBELT,Searching Plate...,84.8%,EV_363_NO_SEATBELT_20260907_203349_101.jpg
2026-09-07 20:33:53,CAM_01_NORTH_JUNCTION,360,SUDDEN_LANE_CHANGE,PJWL71,92.0%,EV_360_SUDDEN_LANE_CHANGE_20260907_203353_657.jpg
2026-09-07 20:33:59,CAM_01_NORTH_JUNCTION,378,NO_SEATBELT,Searching Plate...,84.8%,EV_378_NO_SEATBELT_20260907_203359_469.jpg
2026-09-07 20:34:02,CAM_01_NORTH_JUNCTION,382,NO_SEATBELT,Searching Plate...,84.8%,EV_382_NO_SEATBELT_20260907_203402_288.jpg
2026-09-07 20:34:03,CAM_01_NORTH_JUNCTION,385,NO_SEATBELT,Searching Plate...,84.8%,EV_385_NO_SEATBELT_20260907_203403_679.jpg
